repeat_count	rule	file	line	all_files
3	DOMAIN,browser-intake-datadoghq.com	rule/ai/Copilot.list	14	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,browser-intake-datadoghq.com	rule/ai/OpenAI.list	11	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,browser-intake-datadoghq.com	rule/google/OpenAI.list	11	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,chat.openai.com.cdn.cloudflare.net	rule/ai/Copilot.list	15	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,chat.openai.com.cdn.cloudflare.net	rule/ai/OpenAI.list	12	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,chat.openai.com.cdn.cloudflare.net	rule/google/OpenAI.list	12	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,openai-api.arkoselabs.com	rule/ai/Copilot.list	22	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,openai-api.arkoselabs.com	rule/ai/OpenAI.list	13	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,openai-api.arkoselabs.com	rule/google/OpenAI.list	13	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,openaicomproductionae4b.blob.core.windows.net	rule/ai/Copilot.list	23	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,openaicomproductionae4b.blob.core.windows.net	rule/ai/OpenAI.list	15	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,openaicomproductionae4b.blob.core.windows.net	rule/google/OpenAI.list	15	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,production-openaicom-storage.azureedge.net	rule/ai/Copilot.list	24	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,production-openaicom-storage.azureedge.net	rule/ai/OpenAI.list	16	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,production-openaicom-storage.azureedge.net	rule/google/OpenAI.list	16	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,static.cloudflareinsights.com	rule/ai/Copilot.list	28	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,static.cloudflareinsights.com	rule/ai/OpenAI.list	17	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN,static.cloudflareinsights.com	rule/google/OpenAI.list	17	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,algolia.net	rule/ai/Copilot.list	31	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,algolia.net	rule/ai/OpenAI.list	19	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,algolia.net	rule/google/OpenAI.list	19	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,auth0.com	rule/ai/Copilot.list	33	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,auth0.com	rule/ai/OpenAI.list	21	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,auth0.com	rule/google/OpenAI.list	21	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,chatgpt.com	rule/ai/Copilot.list	36	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,chatgpt.com	rule/ai/OpenAI.list	22	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,chatgpt.com	rule/google/OpenAI.list	22	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,chatgpt.livekit.cloud	rule/ai/Copilot.list	37	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,chatgpt.livekit.cloud	rule/ai/OpenAI.list	23	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,chatgpt.livekit.cloud	rule/google/OpenAI.list	23	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,client-api.arkoselabs.com	rule/ai/Copilot.list	38	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,client-api.arkoselabs.com	rule/ai/OpenAI.list	24	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,client-api.arkoselabs.com	rule/google/OpenAI.list	24	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,events.statsigapi.net	rule/ai/Copilot.list	40	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,events.statsigapi.net	rule/ai/OpenAI.list	25	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,events.statsigapi.net	rule/google/OpenAI.list	25	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,featuregates.org	rule/ai/Copilot.list	41	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,featuregates.org	rule/ai/OpenAI.list	26	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,featuregates.org	rule/google/OpenAI.list	26	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,host.livekit.cloud	rule/ai/Copilot.list	42	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,host.livekit.cloud	rule/ai/OpenAI.list	27	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,host.livekit.cloud	rule/google/OpenAI.list	27	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,identrust.com	rule/ai/Copilot.list	43	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,identrust.com	rule/ai/OpenAI.list	28	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,identrust.com	rule/google/OpenAI.list	28	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,intercom.io	rule/ai/Copilot.list	44	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,intercom.io	rule/ai/OpenAI.list	29	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,intercom.io	rule/google/OpenAI.list	29	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,intercomcdn.com	rule/ai/Copilot.list	45	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,intercomcdn.com	rule/ai/OpenAI.list	30	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,intercomcdn.com	rule/google/OpenAI.list	30	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,launchdarkly.com	rule/ai/Copilot.list	46	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,launchdarkly.com	rule/ai/OpenAI.list	31	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,launchdarkly.com	rule/google/OpenAI.list	31	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,oaistatic.com	rule/ai/Copilot.list	47	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,oaistatic.com	rule/ai/OpenAI.list	32	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,oaistatic.com	rule/google/OpenAI.list	32	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,oaiusercontent.com	rule/ai/Copilot.list	48	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,oaiusercontent.com	rule/ai/OpenAI.list	33	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,oaiusercontent.com	rule/google/OpenAI.list	33	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
